0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
12,16,8,1,0,0,1,1,1,0,1,1,0,0,0
11,16,9,1,0,0,1,1,1,1,1,1,0,0,0
12,17,9,1,0,0,1,1,1,1,1,1,0,0,0
12,18,8,1,0,0,1,1,1,0,1,1,0,0,0
14,17,7,1,0,0,1,1,0,0,1,0,0,0,1
13,16,7,1,0,0,1,1,1,0,1,1,0,0,0
13,15,6,1,0,0,1,1,1,0,1,1,0,0,0
11,14,5,1,0,0,1,1,1,1,1,0,1,1,1
10,13,3,0,0,0,1,1,0,0,1,1,1,1,0
10,13,5,1,0,0,1,1,1,0,1,1,1,1,1
10,12,6,1,0,0,1,1,1,1,1,1,1,1,1
9,11,4,1,0,0,1,1,1,0,1,1,1,1,1
9,12,5,1,0,0,1,1,1,0,1,1,1,1,1
9,12,5,1,0,0,1,1,1,0,1,1,1,1,1
8,11,5,1,0,0,1,1,1,1,1,1,0,1,1
6,13,7,0,0,0,1,1,1,1,1,1,1,0,1
8,13,5,0,0,1,1,1,1,1,1,1,0,1,1
8,14,6,0,0,1,1,1,1,1,1,1,0,1,1
9,15,6,0,0,1,1,1,1,1,1,1,0,1,1
10,16,6,0,0,1,1,1,1,1,1,1,1,1,1
10,15,5,0,0,1,1,1,1,1,1,0,1,1,1
11,16,5,0,0,1,1,1,1,1,1,0,1,1,1
11,14,3,0,0,1,1,0,0,1,1,1,1,1,0
11,13,2,0,0,1,1,0,1,1,1,1,1,0,0
9,12,3,0,0,1,1,0,0,1,1,1,1,1,0
8,11,3,0,0,1,1,1,1,1,1,0,1,1,1
9,12,3,0,0,1,1,0,0,1,1,1,1,1,0
8,12,4,0,0,1,1,1,0,0,1,1,1,1,1
8,11,3,0,0,1,1,1,0,0,1,1,1,1,1
9,13,4,0,0,1,1,1,0,0,1,1,1,1,1
9,12,3,0,0,1,1,0,0,1,1,1,1,1,0
10,11,1,0,0,1,1,0,1,1,1,1,1,0,0
10,11,1,0,0,1,1,0,1,1,1,1,1,0,0
10,11,1,0,0,1,1,0,1,1,1,1,1,0,0
12,13,1,0,0,1,1,1,1,0,0,1,1,1,1
12,14,2,0,0,1,1,0,1,1,1,1,1,0,0
