0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
17,13,8,1,2,1,0,0,1,1,0,1,0,1,0
16,11,9,1,2,1,0,1,1,1,1,1,1,0,1
16,11,9,1,2,1,0,1,1,1,1,1,1,0,1
17,13,8,1,2,1,0,0,1,1,0,1,0,1,0
18,13,7,1,2,1,0,0,1,1,0,0,0,1,1
17,13,8,1,2,1,0,0,1,1,0,1,0,1,0
16,13,7,1,2,1,0,0,1,1,0,1,0,1,0
15,12,5,1,2,1,0,0,1,1,0,1,0,1,0
14,10,4,1,2,0,0,1,1,1,1,1,1,0,1
13,9,4,1,2,0,0,1,1,1,1,1,1,0,1
13,11,6,1,2,1,0,1,1,0,1,1,1,1,1
12,9,5,1,2,1,0,1,0,1,1,0,1,1,1
11,9,4,1,2,1,0,1,0,1,1,0,1,1,1
12,9,5,1,2,1,0,1,0,1,1,0,1,1,1
12,8,6,1,2,1,0,1,0,1,1,0,1,1,1
11,7,6,1,2,1,0,1,0,1,1,0,1,1,1
13,7,6,1,2,0,0,1,1,0,1,1,0,1,1
13,8,5,2,2,0,0,1,1,1,0,1,1,1,1
14,8,6,2,2,0,0,1,1,1,0,1,1,1,1
15,10,5,2,2,0,0,0,1,1,1,1,0,0,0
16,11,5,2,2,0,0,0,1,1,1,1,0,0,0
15,10,5,2,2,0,0,1,1,1,0,1,1,1,1
16,12,4,2,2,0,0,0,1,1,1,1,0,0,0
14,12,2,2,2,0,0,1,1,1,0,1,1,1,1
13,10,3,2,2,0,0,1,1,0,1,1,0,1,1
12,8,4,2,2,0,0,1,0,1,1,0,1,1,1
11,9,2,2,2,0,0,1,0,1,1,0,1,1,1
12,8,4,2,2,0,0,1,0,1,1,0,1,1,1
12,8,4,2,2,0,0,1,0,1,1,0,1,1,1
11,8,3,2,2,0,0,1,0,1,1,0,1,1,1
13,10,3,2,2,0,0,1,1,0,1,1,0,1,1
12,10,2,2,2,0,0,1,0,1,1,0,1,1,1
11,10,1,2,2,0,0,1,0,1,1,0,1,1,1
11,10,1,2,2,0,0,1,0,1,1,0,1,1,1
11,11,0,2,2,0,0,1,0,1,1,0,1,1,1
13,11,2,2,2,0,0,1,1,0,1,1,0,1,1
14,13,1,2,2,0,0,1,1,1,1,1,1,0,1
12,12,0,2,2,0,0,1,1,0,1,1,0,1,1
14,13,1,2,2,0,0,1,1,1,0,1,1,1,1
13,12,1,2,2,0,0,1,1,0,1,1,0,1,1
13,13,0,2,2,0,0,1,1,1,1,1,1,0,1
13,13,0,2,2,0,0,1,1,1,1,1,1,0,1
14,12,2,2,2,0,0,1,1,1,1,1,1,0,1
14,11,3,2,2,0,0,1,1,0,1,1,1,1,1
15,12,3,2,2,0,0,1,1,1,1,1,1,0,1
14,12,4,2,2,0,0,1,1,1,1,1,1,0,1
12,11,3,2,2,0,0,1,1,0,1,1,0,1,1
10,9,3,2,2,0,0,1,0,1,1,0,1,1,1
11,9,2,2,2,0,0,1,1,0,1,1,1,1,1
10,8,2,2,2,0,0,1,0,1,1,0,1,1,1
12,9,3,2,2,0,0,1,1,0,1,1,0,1,1
10,8,2,2,2,0,0,1,0,1,1,0,1,1,1
11,10,3,2,2,0,0,1,1,0,1,1,0,1,1
13,10,3,2,2,0,0,1,1,1,1,1,1,0,1
14,10,4,2,2,0,0,1,1,1,1,1,1,0,1
13,10,5,2,2,0,0,1,1,1,1,1,1,0,1
14,10,4,2,2,0,0,0,1,1,0,1,0,1,0
14,10,4,2,2,0,0,0,1,1,0,0,0,1,1
15,11,4,2,2,0,0,0,1,0,0,1,1,0,0
15,10,5,2,2,0,0,0,1,1,0,0,0,1,1
15,10,5,2,2,0,0,0,1,1,0,0,0,1,1
15,10,5,2,2,0,0,0,1,0,0,1,1,0,0
14,8,6,2,2,0,0,1,0,1,1,1,0,0,0
15,8,7,2,2,0,0,0,1,0,0,1,1,0,0
14,7,7,1,2,0,0,0,1,0,0,1,1,0,0
13,9,8,1,2,1,0,0,1,1,0,0,0,1,1
13,10,9,1,2,1,0,0,1,1,0,0,0,1,1
13,10,9,1,2,1,0,0,1,1,0,0,0,1,1
13,9,8,1,2,1,0,0,1,1,0,0,0,1,1
12,9,7,1,2,1,0,0,1,1,0,0,0,1,1
12,9,7,1,2,1,0,0,1,1,0,0,0,1,1
13,9,8,1,2,1,0,0,1,1,0,0,0,1,1
