0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
16,14,6,1,2,1,0,0,0,0,0,1,0,0,1
15,14,7,1,2,1,0,0,0,0,0,1,0,0,1
14,14,8,1,2,1,0,0,0,0,0,1,0,0,1
13,14,7,1,2,1,0,0,0,0,0,1,0,0,1
13,14,7,1,2,1,0,0,0,0,0,1,0,0,1
14,13,5,1,2,1,0,0,0,0,0,1,0,0,1
15,13,6,1,2,1,0,0,0,0,0,1,0,0,1
15,13,6,1,2,1,0,0,0,1,1,1,0,1,0
14,12,6,1,2,1,0,0,1,1,1,0,1,0,1
14,12,6,1,2,1,0,0,1,1,1,0,1,0,1
12,13,7,1,2,1,0,1,1,1,0,1,1,1,0
11,13,8,1,2,1,0,1,1,1,0,1,1,1,0
12,13,7,1,2,1,0,1,1,1,0,1,1,1,0
13,12,7,1,2,1,0,1,1,1,0,1,1,1,0
13,11,6,1,2,1,0,0,1,1,1,0,1,0,1
13,12,7,1,2,1,0,0,1,1,1,0,1,0,1
11,13,6,1,2,1,0,1,1,1,0,1,1,1,0
10,14,6,1,2,1,0,0,1,1,1,1,0,1,1
11,12,5,1,2,1,0,1,1,1,0,1,1,1,0
12,11,7,1,2,1,0,1,1,1,0,1,1,1,0
11,10,7,1,2,1,0,1,1,1,0,1,1,1,0
13,10,7,1,2,1,0,0,1,1,1,0,1,0,1
13,11,6,1,2,1,0,0,1,1,1,0,1,0,1
13,10,7,1,2,1,0,0,1,1,1,0,1,0,1
15,11,8,1,2,1,0,0,0,1,1,1,0,1,0
15,10,9,1,2,1,0,0,0,1,1,1,0,1,0
15,10,9,1,2,1,0,0,0,1,1,1,0,1,0
14,9,7,1,2,1,0,0,0,1,1,1,0,1,0
14,9,9,1,2,1,0,0,1,1,1,0,1,0,1
14,10,8,1,2,1,0,0,0,1,1,1,0,1,0
14,11,7,1,2,1,0,0,0,0,0,1,0,0,1
15,11,8,1,2,1,0,0,0,0,0,1,0,0,1
16,11,9,1,2,1,0,0,0,0,0,1,0,0,1
15,11,8,1,2,1,0,0,0,0,0,1,0,0,1
14,11,7,1,2,1,0,0,0,0,0,1,0,0,1
14,10,8,1,2,1,0,0,0,0,0,1,0,0,1
14,10,8,1,2,1,0,0,0,0,0,1,0,0,1
15,9,10,1,2,1,0,0,0,0,0,1,0,0,1
14,9,9,1,2,1,0,0,0,1,1,1,0,1,0
15,8,11,1,2,1,0,0,0,1,1,1,0,1,0
14,8,10,1,2,1,0,0,0,1,1,1,0,1,0
14,7,11,1,2,1,0,0,0,1,1,1,0,1,0
14,6,10,1,2,1,0,1,1,1,0,0,1,1,1
12,7,9,1,2,1,0,0,0,1,1,1,0,1,0
12,6,10,1,2,1,0,0,1,1,1,0,1,0,1
12,7,9,1,2,1,0,0,1,1,1,0,1,0,1
13,6,9,1,2,1,0,0,1,1,1,0,1,0,1
13,6,9,1,2,1,0,0,1,1,1,0,1,0,1
13,7,10,1,2,1,0,1,1,1,0,1,1,1,0
11,7,10,1,2,1,0,0,1,1,1,1,0,1,1
9,7,8,1,2,1,0,1,1,1,1,1,1,1,1
11,6,9,1,2,1,0,1,1,1,1,1,1,0,1
9,7,8,1,2,1,0,1,1,1,1,1,1,1,1
9,5,10,1,2,1,0,1,1,1,1,1,1,1,0
10,6,10,1,2,1,0,1,1,1,1,1,1,1,1
12,4,10,1,2,1,0,1,1,1,1,1,1,0,1
11,5,10,1,2,1,0,1,1,1,1,1,1,0,1
9,6,9,1,2,1,0,1,1,1,1,1,1,1,1
10,6,8,1,2,1,0,0,1,1,1,1,0,1,1
12,5,9,1,2,1,0,1,1,1,0,1,1,1,0
12,5,9,1,2,1,0,1,1,1,0,1,1,1,0
11,6,9,1,2,1,0,1,1,1,0,1,1,1,0
12,5,9,1,2,1,0,0,1,1,1,0,1,0,1
12,5,9,1,2,1,0,0,1,1,1,0,1,0,1
12,5,9,1,2,1,0,0,1,1,1,0,1,0,1
12,4,8,1,2,0,0,0,1,1,1,0,1,0,1
13,4,9,1,2,0,0,0,1,1,1,0,1,0,1
15,6,11,1,2,1,0,0,0,1,1,1,0,1,0
14,6,12,1,2,1,0,0,1,1,1,0,1,0,1
14,5,11,1,2,1,0,0,1,1,1,0,1,0,1
14,5,11,1,2,1,0,0,1,1,1,0,1,0,1
14,5,11,1,2,1,0,0,1,1,1,0,1,0,1
14,5,9,1,2,0,0,0,0,1,1,1,0,1,0
13,6,7,2,2,0,0,0,0,1,1,1,0,1,0
14,8,6,2,2,0,0,1,1,1,0,0,1,1,1
15,8,7,2,2,0,0,1,1,1,0,0,1,1,1
14,6,8,2,2,0,0,0,0,1,1,1,0,1,0
15,8,7,2,2,0,0,0,0,0,0,1,0,0,1
15,7,8,2,2,0,0,0,0,1,1,1,0,1,0
16,7,9,2,2,0,0,0,0,0,0,1,0,0,1
16,6,10,2,2,0,0,0,0,0,0,1,0,0,1
16,6,10,2,2,0,0,0,0,0,0,1,0,0,1
16,7,9,2,2,0,0,0,0,0,0,1,0,0,1
16,6,10,2,2,0,0,0,0,0,0,1,0,0,1
15,4,11,2,2,0,0,0,0,1,1,1,0,1,0
15,3,12,2,2,0,0,0,0,1,1,1,0,1,0
15,2,13,2,1,0,0,0,0,1,1,1,0,1,0
13,3,12,2,1,0,1,0,1,1,1,0,1,0,1
14,3,13,2,1,0,1,0,1,1,1,0,1,0,1
13,2,13,2,1,0,1,10,1,1,0,1,1,1,0
14,3,13,2,1,0,1,0,1,1,1,0,1,0,1
15,3,14,2,1,0,1,0,0,1,1,1,0,1,0
14,4,14,2,1,0,1,0,1,1,1,0,1,0,1
14,4,14,2,1,0,1,0,1,1,1,0,1,0,1
14,4,14,2,1,0,1,0,1,1,1,0,1,0,1
14,4,14,2,1,0,1,0,1,1,1,0,1,0,1
14,3,13,2,1,0,1,0,1,1,1,0,1,0,1
13,3,12,2,1,0,1,0,1,1,1,0,1,0,1
12,4,12,2,1,0,1,0,1,1,1,0,1,0,1
13,3,12,2,1,0,1,0,0,1,1,1,0,1,0
12,3,11,2,1,0,1,0,0,1,1,1,0,1,0
11,4,11,2,1,0,1,0,1,1,1,0,1,0,1
10,3,9,2,1,0,1,0,1,1,1,0,1,0,1
10,2,8,2,1,0,0,0,1,1,1,0,1,0,1
8,2,8,2,1,0,0,1,1,1,0,1,1,1,0
8,1,9,1,1,1,0,0,10,1,1,1,0,1,1
7,2,7,1,2,1,0,0,1,10,1,1,0,1,1
