0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
11,12,1,0,0,0,1,1,1,1,1,1,1,-10,0
11,11,0,0,0,0,1,1,1,1,1,0,1,1,1
12,11,1,1,0,0,1,1,-10,1,1,0,1,1,1
13,10,3,1,0,0,1,1,1,0,1,1,1,0,1
11,11,2,0,0,0,1,-10,1,1,1,0,1,1,1
11,11,2,0,0,0,1,-10,1,1,1,0,1,1,1
11,11,2,1,0,0,1,1,1,1,1,1,0,1,1
12,12,4,1,0,0,1,1,1,1,0,1,1,1,0
11,14,5,1,0,0,1,1,1,1,0,1,1,1,0
11,15,6,1,0,0,1,1,1,1,0,1,1,1,0
10,16,6,0,0,0,1,1,1,1,1,1,0,1,1
11,16,5,0,0,0,1,1,1,1,1,0,1,1,1
12,15,3,0,0,1,1,1,1,1,1,1,1,1,0
11,15,4,0,0,1,1,1,1,1,1,1,1,1,0
13,15,4,0,0,1,1,1,1,1,1,1,1,1,1
13,14,3,0,0,1,1,1,1,1,1,1,1,1,1
14,14,4,0,0,1,1,1,1,0,1,0,1,1,0
12,12,2,0,0,1,1,-10,1,1,1,1,1,1,1
12,14,2,0,0,1,1,1,1,1,1,1,1,1,1
13,14,1,0,0,1,1,1,-10,1,1,1,1,1,1
15,15,2,0,0,1,1,-10,1,0,1,0,1,1,0
15,16,1,0,0,1,1,1,-10,0,1,0,1,1,0
14,14,2,0,0,1,1,-10,1,0,1,0,1,1,0
13,13,4,0,0,1,1,1,1,0,1,0,1,0,0
12,13,5,0,0,1,1,1,1,0,1,0,1,0,0
12,13,5,0,0,1,1,1,1,0,1,0,1,0,0
12,11,3,0,0,1,1,1,1,0,1,0,1,1,0
13,11,2,0,0,1,1,1,1,0,1,0,1,1,0
13,9,4,0,0,1,1,1,1,0,1,0,1,1,0
13,8,5,0,0,1,1,1,1,0,1,0,1,1,0
12,9,5,0,0,1,1,1,1,0,1,0,1,1,0
12,8,6,0,0,1,1,1,1,0,1,0,1,1,0
11,9,6,0,0,1,1,1,1,1,1,1,1,1,1
13,10,7,0,0,1,1,1,1,0,1,0,1,1,0
11,10,7,0,0,1,1,1,1,1,1,1,1,1,1
10,9,9,0,0,1,1,1,1,1,1,1,1,1,0
11,8,11,0,0,1,1,1,1,0,1,0,1,0,0
12,9,11,0,0,1,1,1,1,0,1,0,1,0,0
11,8,11,0,0,1,1,1,1,0,1,0,1,0,0
11,7,12,0,0,1,1,1,1,0,1,0,1,0,0
10,6,12,0,0,1,1,1,1,0,1,0,1,0,0
9,7,12,0,0,1,1,1,1,0,1,0,1,0,0
10,6,12,0,0,1,1,1,1,0,1,0,1,0,0
10,7,11,0,0,1,1,1,1,0,1,0,1,1,0
10,7,11,0,0,1,1,1,1,0,1,0,1,1,0
10,6,10,0,0,1,1,1,1,1,1,1,1,1,1
11,6,9,0,0,1,1,1,1,1,1,1,1,1,1
10,7,7,0,0,1,1,1,1,1,1,1,1,1,1
11,6,7,0,0,1,1,1,1,1,1,1,1,1,1
11,8,7,0,0,1,1,1,1,1,1,1,1,1,1
11,7,8,0,0,1,1,1,1,1,1,1,1,1,1
13,7,6,0,0,1,1,1,1,1,1,1,1,1,1
15,7,8,0,0,1,1,1,1,0,1,0,1,1,0
14,6,8,0,0,1,1,1,1,0,1,0,1,1,0
14,6,8,0,0,1,1,1,1,0,1,0,1,1,0
14,6,8,0,0,1,1,1,1,0,1,0,1,1,0
15,6,9,0,0,1,1,0,0,1,1,0,1,1,0
16,6,10,0,0,1,1,0,0,1,1,0,1,1,0
17,6,11,0,0,1,1,0,0,1,1,0,1,1,0
17,8,9,0,0,1,1,1,1,0,1,0,1,1,0
16,6,10,0,0,1,1,1,1,0,1,0,1,1,0
14,5,9,0,0,1,1,1,1,0,1,0,1,1,0
15,5,10,0,0,1,1,1,1,0,1,0,1,1,0
14,6,8,0,0,1,1,1,1,1,1,1,1,1,1
14,5,9,0,0,1,1,1,1,1,1,1,1,1,1
14,6,8,0,0,1,1,1,1,1,1,1,1,1,1
14,4,10,0,0,1,1,1,1,0,1,0,1,1,0
13,4,9,0,0,1,1,1,1,0,1,0,1,1,0
14,5,9,0,0,1,1,1,1,0,1,0,1,1,0
12,3,9,0,0,1,1,1,1,0,1,0,1,1,0
12,3,9,0,0,1,1,1,1,0,1,0,1,0,0
13,5,8,0,0,1,1,1,1,0,1,0,1,0,0
13,3,10,0,0,1,1,1,1,0,1,0,1,1,0
14,3,11,0,0,1,1,1,1,0,1,0,1,1,0
12,4,10,0,0,1,1,1,1,0,1,0,1,0,0
11,5,10,0,0,1,1,1,1,1,1,1,1,1,0
9,4,9,0,0,0,1,1,1,1,1,0,1,1,1
11,4,9,1,0,0,1,1,1,0,1,1,1,0,1
12,4,8,1,0,0,1,1,1,0,1,1,1,0,1
13,5,8,1,0,0,1,1,0,0,1,0,0,1,0
13,4,9,1,0,0,1,1,0,0,1,0,0,1,0
13,3,10,1,0,0,1,1,0,0,1,0,0,1,0
13,2,11,1,0,0,1,1,0,0,1,0,0,1,0
12,2,12,1,0,0,1,1,0,0,1,0,0,1,0
14,2,14,1,0,0,1,1,1,0,0,0,0,0,1
15,2,13,1,0,0,1,1,1,0,0,0,0,0,1
15,1,14,1,0,0,1,1,1,0,0,0,0,0,1
14,2,14,1,0,0,1,1,1,0,0,0,0,0,1
14,1,15,1,0,0,1,1,1,0,0,0,0,0,1
14,2,14,1,0,0,1,1,1,0,0,0,0,0,1
14,3,13,1,0,0,1,1,1,0,0,0,0,0,1
15,3,12,1,0,0,1,1,1,0,0,0,0,0,1
15,4,11,1,0,0,1,1,0,0,1,0,0,1,0
14,4,10,1,0,0,1,1,1,0,1,1,1,0,1
15,5,10,1,0,0,1,1,1,0,1,1,1,0,1
16,6,10,1,0,0,1,1,1,0,1,1,1,0,1
15,6,9,1,0,0,1,1,1,1,0,1,1,1,0
15,7,8,1,0,0,1,1,1,1,1,1,0,1,1
15,7,8,1,0,0,1,1,1,1,1,1,0,1,1
15,7,8,1,0,0,1,1,1,1,1,1,0,1,1
14,8,6,1,0,0,1,1,1,1,1,1,1,1,1
12,8,8,1,0,0,1,1,1,1,1,1,1,1,1
11,7,6,1,0,0,1,1,1,1,1,1,0,1,1
10,8,8,1,0,0,1,1,1,1,1,1,1,1,1
11,7,6,1,0,0,1,1,1,1,1,1,0,1,1
12,8,6,1,0,0,1,1,1,1,0,1,1,1,1
12,9,7,1,0,0,1,1,1,1,0,1,1,1,1
13,10,9,1,0,0,1,1,1,1,1,1,1,1,1
13,9,10,1,0,0,1,1,1,1,1,1,1,1,1
14,10,10,1,0,0,1,1,1,1,1,1,1,1,0
13,9,10,1,0,0,1,1,1,1,1,1,1,1,1
15,11,10,1,0,0,1,1,1,1,1,1,1,1,0
14,10,10,1,0,0,1,1,1,1,1,1,1,1,1
13,10,9,1,0,0,1,1,1,1,1,1,1,1,1
13,11,8,1,0,0,1,1,1,1,1,1,1,1,1
14,11,7,1,0,0,1,1,1,1,1,1,1,1,0
14,11,7,1,0,0,1,1,1,1,1,1,1,1,1
15,10,5,1,0,0,1,1,1,1,1,1,1,1,0
16,10,6,1,0,0,1,1,1,0,1,0,1,0,0
14,8,6,1,0,0,1,1,1,1,1,1,1,1,0
14,8,6,1,0,0,1,1,1,1,1,1,1,1,0
14,7,7,1,0,0,1,1,1,1,1,1,1,1,0
15,7,8,1,0,0,1,1,1,1,1,0,1,1,1
15,7,8,1,0,0,1,1,1,1,1,1,0,1,1
14,7,7,1,0,0,1,0,1,1,1,1,0,0,1
13,6,7,1,0,0,1,1,0,1,1,1,1,0,0
14,7,7,1,0,0,1,0,1,1,1,1,0,0,1
12,6,6,1,0,0,1,1,1,1,0,1,1,1,1
13,5,8,1,0,0,1,1,1,1,1,1,1,1,1
14,4,10,1,0,0,1,1,1,1,1,1,0,1,1
15,3,12,1,0,0,1,1,1,1,1,0,1,1,1
15,4,11,1,0,0,1,1,1,1,1,1,1,1,0
14,4,10,1,0,0,1,1,1,1,1,1,1,1,1
14,4,10,1,0,0,1,1,1,1,1,1,1,1,0
14,6,8,1,0,0,1,1,1,1,1,1,1,1,1
12,6,6,1,0,0,1,1,1,1,1,1,1,1,1
11,5,6,1,0,0,1,1,1,1,1,1,1,1,1
12,6,8,1,0,0,1,1,1,1,1,1,1,1,1
13,7,8,1,0,0,1,1,1,1,1,1,1,1,1
12,6,6,1,0,0,1,1,1,1,1,1,1,1,1
